epoch,train_loss,valid_loss,multi_label_accuracy,multilabel_hamming_loss,macro_f1_score_multilabel,time
0,0.48454105854034424,0.39388537406921387,0.8263818621635437,0.17361820715281004,0.5389689353811989,01:20
1,0.4364803433418274,0.44292765855789185,0.7958662509918213,0.20413376683697168,0.4873656011713062,01:00
2,0.39947307109832764,0.37650826573371887,0.8375291228294373,0.16247097073850433,0.5764340496125211,01:00
3,0.38984376192092896,0.4509643018245697,0.7949839234352112,0.20501625638643747,0.5748931249133844,01:00
4,0.34503400325775146,0.3915989100933075,0.8320481181144714,0.16795169530887133,0.5706516415569048,01:00
5,0.31251659989356995,0.4169788956642151,0.8222018480300903,0.17779842080817457,0.5881551027460304,01:00
6,0.30083152651786804,0.40854963660240173,0.83269864320755,0.16730143985137017,0.5856771278379336,01:00
7,0.2713460922241211,0.413899689912796,0.8275428414344788,0.17245703669298648,0.5834490058260328,01:00
8,0.24209067225456238,0.4473091661930084,0.8243383765220642,0.17566186716209947,0.5802531785108899,01:14
9,0.22611431777477264,0.4494535028934479,0.8243845105171204,0.17561542034370647,0.5728726989076244,01:11
10,0.20404987037181854,0.45586147904396057,0.827960729598999,0.1720390153274501,0.5770872418784792,01:00
