epoch,train_loss,valid_loss,multi_label_accuracy,multilabel_hamming_loss,macro_f1_score_multilabel,time
0,0.32890546321868896,0.2753099203109741,0.8873924612998962,0.11260747165791678,0.3969243488971227,00:19
1,0.2875480651855469,0.28185704350471497,0.8800883889198303,0.11991174008978159,0.45601337174422946,00:18
2,0.2858025133609772,0.28646934032440186,0.8797838687896729,0.12021608460777602,0.4775545170803799,00:18
3,0.2668275237083435,0.25988835096359253,0.8927566409111023,0.107243399528266,0.5300427835382802,00:18
4,0.2587067186832428,0.25585293769836426,0.8936317563056946,0.10636840903903216,0.5440030334991491,00:18
5,0.25774309039115906,0.2528965175151825,0.8952674269676208,0.10473255725481244,0.5136695626864726,00:18
6,0.2515864074230194,0.24371083080768585,0.8990716338157654,0.10092825077988284,0.5597645171639357,00:18
7,0.24685066938400269,0.2503378093242645,0.8946207761764526,0.10537928935555047,0.5584069794153596,00:18
8,0.24702173471450806,0.25099143385887146,0.8989576101303101,0.10104237997413072,0.5392852617528948,00:18
9,0.24007028341293335,0.24517762660980225,0.8997945189476013,0.1002054325496462,0.5590481139023746,00:18
10,0.23949408531188965,0.23761776089668274,0.9030283093452454,0.09697177204595599,0.5674243237429253,00:18
11,0.2371082752943039,0.24054309725761414,0.9011261463165283,0.09887392528342082,0.558827987679391,00:18
12,0.23202729225158691,0.23685644567012787,0.9032564759254456,0.09674351365746023,0.5918519988059009,00:18
13,0.2283671349287033,0.23558977246284485,0.9034466743469238,0.09655329833371376,0.5750995260491282,00:18
14,0.2253982275724411,0.23702053725719452,0.9022672176361084,0.097732633340942,0.5509536615896725,00:18
15,0.2249980866909027,0.23433515429496765,0.9050827622413635,0.09491744654949398,0.5898283617426785,00:18
16,0.22165261209011078,0.23251868784427643,0.9059576988220215,0.09404245606026018,0.5765099665078662,00:18
17,0.2186674028635025,0.23456744849681854,0.9055770039558411,0.09442288670775319,0.5941144723284221,00:18
18,0.2212650328874588,0.2283492237329483,0.907783567905426,0.09221638895229399,0.5878206760555297,00:18
19,0.21334919333457947,0.23349298536777496,0.9056910276412964,0.09430875751350534,0.5737953502721831,00:18
20,0.21361033618450165,0.2280789166688919,0.9078596830368042,0.0921403028227954,0.577455532811,00:18
21,0.209808811545372,0.22972331941127777,0.9083922505378723,0.09160769991630524,0.586959554916103,00:18
22,0.20758099853992462,0.23257112503051758,0.9068325161933899,0.09316746557102643,0.5779242854876916,00:18
23,0.20388104021549225,0.23181778192520142,0.9078214764595032,0.0921783458875447,0.580459655604394,00:18
24,0.2015884965658188,0.23102931678295135,0.9080498218536377,0.09195008749904894,0.5879219026400405,00:18
25,0.20066624879837036,0.23031337559223175,0.90846848487854,0.09153161378680663,0.5811179621914653,00:18
26,0.19717057049274445,0.23143994808197021,0.9069464802742004,0.09305333637677853,0.5794196141471388,00:18
27,0.19475962221622467,0.2292744666337967,0.9095715880393982,0.09042836490907707,0.5833943719894615,00:18
28,0.19581155478954315,0.22837065160274506,0.9099901914596558,0.09000989119683481,0.5810709390242599,00:18
29,0.1922728717327118,0.23099808394908905,0.907555341720581,0.09244464734078975,0.5790611348898226,00:18
30,0.19127285480499268,0.23138584196567535,0.9085446000099182,0.09145552765730805,0.5789771539740612,00:18
31,0.19012363255023956,0.22968557476997375,0.9094574451446533,0.09054249410332495,0.5768113880201028,00:18
