epoch,train_loss,valid_loss,multi_label_accuracy,multilabel_hamming_loss,macro_f1_score_multilabel,time
0,0.4299507439136505,0.4085734486579895,0.8153277635574341,0.18467254993032975,0.46737583811202943,01:01
1,0.3760698437690735,0.37938037514686584,0.8403620719909668,0.15963771481653513,0.5302347397420201,01:00
2,0.3492010533809662,0.37558120489120483,0.8425450325012207,0.15745471435206684,0.5426698420154579,01:00
3,0.3357330560684204,0.377050518989563,0.8462611436843872,0.15373896888063154,0.5462670750253255,01:00
4,0.3234451115131378,0.38038820028305054,0.8432885408401489,0.15671156525777977,0.5640148849835619,01:00
5,0.3073071539402008,0.3950849175453186,0.8416628837585449,0.15833720390153275,0.5612342086301021,01:00
6,0.29067209362983704,0.41818928718566895,0.839108407497406,0.16089177891314446,0.5539293947646028,01:00
7,0.2792544960975647,0.41536152362823486,0.8388294577598572,0.1611704598235021,0.5614545273271608,01:00
8,0.26858851313591003,0.4179750680923462,0.8356249332427979,0.16437529029261483,0.5524111203630567,01:00
9,0.2575953006744385,0.4237441420555115,0.8287501335144043,0.17124941941477015,0.5630062032161971,01:00
10,0.24496953189373016,0.4420607089996338,0.8280539512634277,0.17194612169066417,0.5542248009735952,01:25
11,0.25156834721565247,0.4478347897529602,0.8342313766479492,0.16576869484440315,0.536597236193999,01:00
12,0.2230759859085083,0.4555409252643585,0.8320021033287048,0.16799814212726422,0.5479152287644423,01:00
13,0.21076518297195435,0.5375737547874451,0.8329305648803711,0.16706920575940548,0.5293896102298232,01:00
14,0.2002381831407547,0.5645274519920349,0.8332094550132751,0.16679052484904783,0.5469859801425058,01:00
15,0.18138296902179718,0.5528781414031982,0.8347423672676086,0.1652577798420809,0.5536274961893208,01:00
16,0.16951200366020203,0.5386335253715515,0.8316304087638855,0.16836971667440775,0.5530372794809181,01:00
