epoch,train_loss,valid_loss,multi_label_accuracy,multilabel_hamming_loss,macro_f1_score_multilabel,time
0,0.33023062348365784,0.29798537492752075,0.8789497017860413,0.12105049273595445,0.3376537405918934,00:12
1,0.28474268317222595,0.2656453251838684,0.8911916613578796,0.10880829015544045,0.49237242616214033,00:10
2,0.27361488342285156,0.2611885666847229,0.8913187980651855,0.10868129635273797,0.4840988229474496,00:10
3,0.26548415422439575,0.2605583071708679,0.8924108743667603,0.1075891496494971,0.5017432779217811,00:10
4,0.2573186457157135,0.2598046660423279,0.8916236162185669,0.10837651122625215,0.5202103947069909,00:10
5,0.2571733891963959,0.24591399729251862,0.8977442979812622,0.10225540993599518,0.5197099861601554,00:08
6,0.24691538512706757,0.2533852756023407,0.8930712342262268,0.10692878187544445,0.5191531651573692,00:06
7,0.24209915101528168,0.24346578121185303,0.8993955850601196,0.10060449050086355,0.5346797313760068,00:06
8,0.24366120994091034,0.2402515411376953,0.90117347240448,0.09882657726302957,0.5519358631841272,00:06
9,0.235373854637146,0.2364535927772522,0.9031546115875244,0.0968454739408717,0.5524664702331381,00:06
10,0.23769822716712952,0.23521389067173004,0.903967022895813,0.09603271360357618,0.5481081486800569,00:06
11,0.23307938873767853,0.23504877090454102,0.9028753638267517,0.09712486030681701,0.56180730622421,00:06
12,0.2295125275850296,0.23195581138134003,0.9048817157745361,0.0951183582241187,0.5776992188732878,00:06
13,0.22797273099422455,0.23534908890724182,0.9030274152755737,0.09697246774357414,0.5634139677693655,00:06
14,0.2256130874156952,0.23009788990020752,0.9057705998420715,0.09422940160520167,0.567247241566405,00:06
15,0.22297461330890656,0.22694945335388184,0.9072943329811096,0.09270547597277257,0.5766041145660892,00:06
16,0.22102661430835724,0.22825035452842712,0.9062278270721436,0.09377222391547291,0.5818459234439484,00:06
17,0.22160141170024872,0.22932568192481995,0.9063292741775513,0.093670628873311,0.5841691501029531,00:06
18,0.22024735808372498,0.2310391664505005,0.9063042402267456,0.09369602763385147,0.5751139034053665,00:06
19,0.21783608198165894,0.22447003424167633,0.9085136651992798,0.09148633546682924,0.5753575386495943,00:06
20,0.21373799443244934,0.22953927516937256,0.907573938369751,0.0924260896068272,0.5676951830800695,00:06
21,0.21817930042743683,0.2273506224155426,0.9086405038833618,0.0913593416641268,0.5921267006959375,00:06
22,0.20800665020942688,0.2295161783695221,0.9087929725646973,0.0912069491008839,0.5880375550870094,00:06
23,0.20871463418006897,0.22613996267318726,0.9101898670196533,0.08981001727115721,0.5912259038066368,00:06
24,0.20778198540210724,0.2314986139535904,0.9086916446685791,0.09130854414304582,0.5952024754346212,00:06
25,0.2039157897233963,0.2246452271938324,0.9099869132041931,0.0900132073554811,0.593071577568033,00:06
26,0.20432551205158234,0.2231469303369522,0.911459743976593,0.08854007924413285,0.5918394003513742,00:06
27,0.20206274092197418,0.22316409647464752,0.9111550450325012,0.08884486437061871,0.6029423886768891,00:06
28,0.2004479318857193,0.2246498316526413,0.9100373983383179,0.08996240983440013,0.5818276880956698,00:06
29,0.19962306320667267,0.22592496871948242,0.9095296263694763,0.09047038504520981,0.5775024458403457,00:06
30,0.19784514605998993,0.22453215718269348,0.9115105271339417,0.08848928172305191,0.596750498094226,00:06
31,0.20376063883304596,0.22590479254722595,0.9099109172821045,0.09008940363710251,0.5849458550887753,00:06
